FECHA_CORTE;ITEM;DENOMINACION;TIPO_DE_LIGA;DISCIPLINA_DEPORTIVA;RESOLUCION_INSCRIPCION_RENADE;FECHA_RESOLUCION;OBSERVACIONES;;;
20230731;63;LIGA DEPORTIVA DISTRITAL MIXTA DE BASKETBALL DE RESTAURACIÓN-HUARAZ;DISTRITAL;BASKETBALL;101-DINADAF-RND-2014;28/05/2014;Resolución N°0151-2022-IPD-DNCTD/SRND. período 27 de febrero de 2022 al 26 de febrero de 2026;;;
20230731;64;LIGA DISTRITAL MIXTA DE BASKETBALL DE HUÁNUCO;DISTRITAL;BASKETBALL;124-DINADAF-RND-2014;23/07/2014;;;;
20230731;65;LIGA DEPORTIVA DISTRITAL DE BASKETBALL DE WANCHAQ;DISTRITAL;BASKETBALL; 187-DINADAF-RND-2015;10/09/2015;Resolución N°0152-2022-IPD-DNCTD/SRND. período 2020 - 2024;;;
20230731;66;LIGA DEPORTIVA DISTRITAL DE BASKET DE SAN JUAN DE LURIGANCHO;DISTRITAL;BASKETBALL;711-DINADAF-RND-2016;28/10/2016;;;;
20230731;67;LIGA DEPORTIVA DISTRITAL MIXTA DE BASKETBALL DE HUACHO;DISTRITAL;BASKETBALL;0148-2022-IPD-DNCTD/SRND;12/04/2022;periodo 15 de junio de 2018 al 14 de junio de 2022;;;
20230731;68;LIGA DEPORTIVA DISTRITAL MIXTA DE BASKETBALL DE RUPA RUPA;DISTRITAL;BASKETBALL;0150-2022-IPD-DNCTD/SRND;12/04/2022;periodo 30 de enero de 2022 al 29 de enero de 2026;;;
20230731;69;LIGA DEPORTIVA DISTRITAL DE BASKETBALL DE TRUJILLO;DISTRITAL;BASKETBALL;715-DINADAF-RND-2016;2/11/2016;;;;
20230731;70;LIGA DEPORTIVA DISTRITAL DE BASKET DE BARRANCA;DISTRITAL;BASKETBALL;724-DINADAF-RND-2016;8/11/2016;periodo de dos años, periodo que, conforme a su modificación de estatuto, ha sido ampliado de dos a cuatro años;;;
20230731;71;LIGA DEPORTIVA DISTRITAL MIXTA DE BASKETBALL DE ICA;DISTRITAL;BASKETBALL;875-DINADAF-RND-2016;15/12/2016;;;;
20230731;72;LIGA DEPORTIVA DISTRITAL MIXTA DE BASKETBALL DE TACNA;DISTRITAL;BASKETBALL;935-DINADAF-RND-2016;27/12/2016;;;;
20230731;73;LIGA DEPORTIVA MIXTA DE BASKETBALL DE LIMA;DISTRITAL;BASKETBALL;1025-DINADAF-RND-2017;25/08/2017;;;;
20230731;74;LIGA DEPORTIVA DISTRITAL MIXTA DE BASKETBALL DE CAJAMARCA;DISTRITAL;BASKETBALL;0488-DINADAF-RND-2018;20/03/2018;periodo de cuatro (04) años;;;
20230731;75;LIGA DEPORTIVA DISTRITAL DE BÉISBOL DEL CALLAO;DISTRITAL;BEISBOL;289-DNCTD-RND-2013;25/10/2013;;;;
20230731;76;LIGA DEPORTIVA DISTRITAL DE BÉISBOL DE SAN LUIS;DISTRITAL;BEISBOL;257-DINADAF-RND-2015;18/11/2015;;;;
20230731;77;LIGA DEPORTIVA DISTRITAL DE BÉISBOL DE TRUJILLO;DISTRITAL;BEISBOL;269-DINADAF-RND-2015;26/11/2015;;;;
20230731;78;LIGA DEPORTIVA DISTRITAL DE BÉISBOL DE PUEBLO LIBRE;DISTRITAL;BEISBOL;036-DINADAF-RND-2016;9/02/2016;;;;
20230731;79;LIGA DEPORTIVA DISTRITAL DE BÉISBOL DE BELLAVISTA;DISTRITAL;BEISBOL;458-DINADAF-RND-2016;26/08/2016;;;;
20230731;80;LIGA DEPORTIVA DISTRITAL DE BÉISBOL DE JESÚS MARÍA;DISTRITAL;BEISBOL;1015-DINADAF-RND-2018;19/06/2018;;;;
20230731;81;LIGA DEPORTIVA DISTRITAL DE BILLAR DE TRUJILLO;DISTRITAL;BILLAR;100-DNCTD-RND-2007;15/02/2007;;;;
20230731;82;LIGA DEPORTIVA DISTRITAL DE BOXEO DE ICA;DISTRITAL;BOXEO;063-DNCTD-RND-2009;9/02/2009;;;;
20230731;83;LIGA DEPORTIVA DISTRITAL DE CICLISMO DEL CUSCO;DISTRITAL;CICLISMO;028-DINADAF-RND-2014;5/02/2014;;;;
20230731;84;LIGA DEPORTIVA DISTRITAL DE CICLISMO DE LA VICTORIA;DISTRITAL;CICLISMO;286-DINADAF-RND-2014;12/11/2014;Resolución N°0301-DNCTD-RND-2019, periodo 07 de Octubre de 2018 al 06 de octubre de 2022;;;
20230731;85;LIGA DEPORTIVA DE CICLISMO DISTRITAL DE TRUJILLO-LA LIBERTAD;DISTRITAL;CICLISMO;298-DINADAF-RND-2014;13/11/2014;Resolución N°406-DNCTD-RND-2020, periodo 2018-2022;;;
20230731;86;ASOCIACIÓN LIGA DEPORTIVA DISTRITAL MIRAFLORINA DE CICLISMO;DISTRITAL;CICLISMO;006-DINADAF-RND-2015;14/01/2015;"Resolución N°0187-2023-IPD-DNCTD/SRND.
periodo del 15 de noviembre de 2022 al 14 de noviembre de 2026";;;
20230731;87;LIGA DEPORTIVA DISTRITAL DE CICLISMO DE SAN ISIDRO;DISTRITAL;CICLISMO;717-DINADAF-RND-2016;2/11/2016;"Resolución N°0709-2022-IPD-DNCTD/SRND.
periodo del 21 de diciembre de 2021 al 20 de diciembre de 2025.";;;
20230731;88;LIGA DEPORTIVA DISTRITAL DE CICLISMO DE ATE;DISTRITAL;CICLISMO;768-DINADAF-RND-2016;22/11/2016;;;;
20230731;89;LIGA DEPORTIVA DISTRITAL DE CICLISMO DE SAN MARTÍN DE PORRES;DISTRITAL;CICLISMO;787-DINADAF-RND-2016;24/11/2016;;;;
20230731;90;LIGA DEPORTIVA DISTRITAL DE CICLISMO DE PISCO;DISTRITAL;CICLISMO;815-DINADAF-RND-2016;2/12/2016;"Resolución N°0710-2022-IPD-DNCTD/SRND.
periodo comprendido del 02 de marzo de 2022 al 01 de marzo de 2026.";;;
20230731;91;LIGA DEPORTIVA DISTRITAL DE CICLISMO DE HUARAZ;DISTRITAL;CICLISMO;1098-DINADAF-RND-2018;9/07/2018;periodo de cuatro años (del 06 de diciembre de 2017 al 06 de diciembre de 2021);;;
20230731;92;LIGA DISTRITAL DE AMARILIS-HUANUCO;DISTRITAL;CICLISMO;1244-DINADAF-RND-2019;16/08/2018;periodo 24 de junio de 2018 al 24 de junio de 2022;;;
20230731;93;LIGA DISTRITAL DE CICLISMO DE AYACUCHO;DISTRITAL;CICLISMO;1530-DINADAF-RND-2018;5/11/2018;periodo de cuatro(04) años;;;
20230731;94;LIGA DEPORTIVA DISTRITAL DE CICLISMO WANKA-HUANCAYO;DISTRITAL;CICLISMO;0919-DNCTD-RND-2019;5/12/2019;periodo de 04 años;;;
