,Videojuego,Género,Distribuidora,Plataforma Original
90,Shenmue,Aventura,Sega,Dreamcast
91,Silent Hill,Horror de supervivencia,Konami,PlayStation
92,System Shock 2,disparos en primera persona,Electronic Arts,PC
93,Baldur's Gate II: Shadows of Amn,Videojuego de rol,Black Isle Studios,PC
94,Counter-Strike,disparos en primera persona,Valve Corporation,PC
95,Deus Ex,Acción y Rol,Eidos Interactive,PC
96,Diablo II,Acción y Rol,Blizzard Entertainment,PC
97,Jet Set Radio,Plataformas,Sega,Dreamcast
98,The Legend of Zelda: Majora's Mask,Acción-aventura,Nintendo,Nintendo 64
99,The Sims,Simulación,Electronic Arts,PC
100,Tony Hawk's Pro Skater 2,Videojuego de deportes,Activision,PlayStation
101,Advance Wars,Turn-based tactics,Nintendo,Game Boy Advance
102,Animal Crossing,Simulación,Nintendo,Nintendo 64
103,Final Fantasy X,Videojuego de rol,Square,PlayStation 2
104,Gran Turismo 3: A-Spec,Carreras,Sony Computer Entertainment,PlayStation 2
105,Grand Theft Auto III,Acción-aventura,Rockstar Games,PlayStation 2
106,Halo: Combat Evolved,disparos en primera persona,Microsoft Game Studios,Xbox
107,Ico,Acción-aventura,Sony Computer Entertainment,PlayStation 2
108,Max Payne,videojuego de disparos en tercera persona,Rockstar Games,PC
109,Metal Gear Solid 2: Sons of Liberty,Sigilo,Konami,PlayStation 2
110,Rez,Matamarcianos,Sega,Dreamcast
111,Silent Hill 2,Horror de supervivencia,Konami,PlayStation 2
112,Super Smash Bros. Melee,Lucha,Nintendo,GameCube
113,Grand Theft Auto: Vice City,Acción-aventura,Rockstar Games,PlayStation 2
114,The Legend of Zelda: The Wind Waker,Acción-aventura,Nintendo,GameCube
115,Metroid Prime,Acción-aventura,Nintendo,GameCube
116,Prince of Persia: The Sands of Time,Acción-aventura,Ubisoft,PlayStation 2
